     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle
-1.13351	0.314474	191.743 	0.460307	416.562 	394	159	-15.5059
-1.1737 	2.65935 	184.571 	0.447523	412.48  	393	157	-66.1858
-3.83981	0.878683	188.873 	0.454925	415.264 	394	161	-12.8894
2.35352 	0.895675	182.253 	0.442096	412.286 	394	159	20.8353
3.56566 	-0.388323	191.993 	0.461758	415.86  	393	157	-6.21539
-5.63505	-2.58636	185.358 	0.448291	413.708 	394	158	24.654
-1.29071	0.5636  	189.403 	0.455864	415.492 	394	158	-23.5889
-1.61133	-1.26105	182.543 	0.442651	412.412 	394	159	38.0473
2.3919  	-1.23699	184.236 	0.445959	413.168 	394	159	-27.3463
-1.83338	-0.827455	186.183 	0.449706	414.035 	394	160	24.291
0.841827	0.409069	192.068 	0.460919	416.711 	394	159	25.9165
-1.23649	1.95883 	184.501 	0.449199	410.764 	391	159	-57.7382
0.42994 	-0.399622	182.142 	0.443663	410.543 	392	162	-42.907
-3.13919	-2.3999 	186.851 	0.451051	414.35  	394	159	37.3979
0.563563	-1.36474	185.163 	0.447727	413.576 	394	159	-67.5622
2.19054 	0.860867	186.343 	0.452771	411.595 	391	160	21.4545
-0.999255	-0.41234	185.336 	0.44897 	412.811 	393	161	22.4234
1.83121 	-2.56197	188.775 	0.454708	415.214 	394	160	-54.4442
-0.341088	0.016106	188.075 	0.453317	414.887 	394	157	-2.70347
2.50775 	0.018081	187.256 	0.451779	414.523 	394	158	0.413098
2.20615 	-0.425083	181.777 	0.442063	411.233 	393	158	-10.9062
1.25632 	-0.60994	191.73  	0.460286	416.557 	394	159	-25.8965
-2.0295 	-0.138921	187.305 	0.451865	414.54  	394	160	3.91584
-0.239906	1.83186 	191.718 	0.46027 	416.554 	394	158	-82.5389
-3.49688	3.39247 	191.438 	0.459843	416.447 	394	161	-44.1318
0.877395	-1.02789	192.232 	0.462154	415.958 	393	156	-49.5164
-3.7478 	1.03539 	186.65  	0.451573	413.422 	393	158	-15.4436
1.93003 	-0.146361	186.738 	0.450772	414.285 	394	159	-4.33665
-1.5373 	1.13089 	184.192 	0.445855	413.143 	394	160	-36.3395
2.86488 	-0.468035	186.565 	0.450462	414.213 	394	158	-9.27845
-1.15371	-0.578838	184.415 	0.446276	413.24  	394	159	26.6438
2.61032 	1.60309 	186.708 	0.451659	413.44  	393	160	31.5556
1.4484  	0.978407	186.347 	0.450929	413.269 	393	160	34.0394
0.65574 	-0.781132	185.446 	0.448267	413.702 	394	158	-49.9875
-3.54277	1.61609 	188.551 	0.45431 	415.117 	394	162	-24.5209
-2.89254	-0.414796	183.175 	0.444809	411.859 	393	156	8.1607
-1.01398	2.34761 	187.644 	0.452528	414.697 	394	160	-66.6396
-0.477273	-1.23632	181.038 	0.439695	411.746 	394	158	68.8913
5.56026 	2.36738 	186.995 	0.452348	413.603 	393	159	23.0627
-1.38902	0.793108	185.778 	0.448916	413.853 	394	158	-29.7257
-1.44423	0.519004	187.242 	0.451735	414.509 	394	161	-19.7666
-0.29417	-0.448843	185.399 	0.448174	413.679 	394	159	56.7594
-0.546775	-4.45938	191.535 	0.460924	415.659 	393	155	83.0098
2.40771 	-3.79785	181.32  	0.443067	409.364 	391	159	-57.6267
-0.896953	2.05977 	186.95  	0.451182	414.385 	394	156	-66.4687
2.07281 	1.47327 	186.114 	0.450496	413.17  	393	158	35.4037
0.717895	3.80918 	189.057 	0.45527 	415.351 	394	157	79.327
1.58755 	-0.299537	185.415 	0.448216	413.689 	394	159	-10.6849
1.54294 	-1.60835	187.987 	0.453177	414.85  	394	160	-46.189
1.66343 	-1.02503	185.561 	0.448499	413.76  	394	154	-31.642
0.314069	-2.13486	184.918 	0.447268	413.467 	394	161	-81.631
