     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle
-0.766466	0.556096	10.627  	0.966888	11.0345 	3	1	-35.9621
-0.876452	0.64571 	12.5963 	0.989159	12.7818 	2	1	-36.3803
-0.565806	0.429998	14.5549 	0.991798	14.6927 	2	0	-37.2339
0.493539	0.465125	0.885015	0.36825 	3.02777 	3	2	43.3023
-0.044633	0.327308	2.02069 	0.737133	2.77766 	2	1	-82.2349
-0.229149	0.671354	3.00871 	0.854764	3.61645 	2	1	-71.1541
0.315494	0.778299	4.60429 	0.92821 	5.04224 	2	2	67.9342
0.228376	0.381812	5.62454 	0.94892 	5.94582 	2	2	59.1148
0.104082	0.792473	7.37319 	0.969403	7.65047 	2	0	82.5178
0.488842	0.35436 	7.66385 	0.971463	7.91342 	2	1	35.9383
0.282612	0.240006	8.6398  	0.977245	8.8491  	2	1	40.3394
0.287645	0.165776	9.70608 	0.981831	9.89147 	2	1	29.9558
0.026901	0.493288	10.1469 	0.983356	10.3308 	2	1	86.8786
-0.512195	-0.000514	0.975406	0.506398	2.17558 	2	2	0.0574977
0.094587	0.193406	0.960986	0.464606	2.11966 	2	1	63.9387
0.478221	0.206823	2.16536 	0.764658	2.91262 	2	1	23.3877
0.692266	0.95564 	3.13963 	0.872758	3.84306 	2	2	54.0805
0.872491	1.22111 	4.44322 	0.928336	5.05187 	2	0	54.454
1.08883 	1.02257 	5.04622 	0.941828	5.58771 	2	0	43.2023
1.10278 	1.09642 	6.23632 	0.959864	6.69603 	2	0	44.8344
-0.455196	0.230075	1.13579 	0.552768	2.25239 	2	1	-26.814
-0.147577	0.032746	2.86869 	0.837141	3.43153 	2	1	-12.5107
0.202952	-0.283074	3.00892 	0.850027	3.56343 	2	1	-54.3611
0.277306	-0.511121	3.469   	0.882139	3.98735 	2	0	-61.5182
0.247898	-0.700233	3.6555  	0.893189	4.17629 	2	0	-70.505
0.072178	-0.705858	4.47612 	0.923823	4.90571 	2	0	-84.1615
0.74024 	-0.370193	5.63697 	0.949784	5.99863 	2	1	-26.5696
0.7577  	-0.190017	6.38864 	0.960009	6.70433 	2	1	-14.0784
0.916495	-0.227924	7.8747  	0.97312 	8.15021 	2	1	-13.9656
0.51884 	0.058332	8.67402 	0.977457	8.89013 	2	1	6.4147
0.459888	-0.18073	9.84205 	0.982339	10.0316 	2	1	-21.4542
0.553024	-0.103641	11.3045 	0.986527	11.4731 	2	1	-10.6146
0.220954	0.182262	12.7699 	0.989375	12.9103 	2	1	39.5188
-0.084382	0.468459	0.559124	0.364322	2.01552 	2	1	-79.7891
0.002163	0.505612	1.47727 	0.639314	2.4423  	2	0	89.755
-0.123686	0.736477	3.15737 	0.865586	3.7483  	2	1	-80.4666
0.133566	1.49274 	3.57054 	0.808759	4.78798 	3	1	84.887
-0.140662	1.57591 	5.22687 	0.945646	5.77497 	2	0	-84.8995
-0.405289	1.63614 	6.19656 	0.959839	6.69042 	2	1	-76.0873
-0.790487	1.94052 	7.26375 	0.970533	7.78946 	2	1	-67.8361
-1.30369	1.60104 	8.70447 	0.978668	9.14099 	2	0	-50.8449
0.1404  	-0.182942	-0.069502	0.127342	1.8914  	2	2	-52.4954
0.06933 	-0.119874	0.140007	0.104341	1.8873  	2	1	-59.9568
0.531078	-0.224161	0.241421	0.315755	1.97926 	2	0	-22.884
0.85806 	-0.25737	1.18313 	0.62    	2.39357 	2	0	-16.6963
0.544813	-0.243672	1.23775 	0.590708	2.32623 	2	1	-24.097
0.354461	-0.097817	1.988   	0.73285 	2.75871 	2	1	-15.4274
0.214091	-0.250746	3.67182 	0.891047	4.13737 	2	0	-49.5088
-0.022961	-0.085566	3.90284 	0.901149	4.33208 	2	0	74.979
-0.031071	0.107688	1.21821 	0.546026	2.24048 	2	1	-73.9057
0.304799	0.404231	1.55858 	0.657877	2.49095 	2	2	52.983
0.142492	0.267632	3.02727 	0.851191	3.57431 	2	2	61.9684
0.506832	0.642789	4.57456 	0.927295	5.01159 	2	2	51.7447
0.901987	0.83588 	5.9466  	0.907199	6.69359 	3	1	42.8216
0.977213	0.501305	6.08005 	0.95682 	6.45727 	2	1	27.1576
0.81126 	0.757446	6.00527 	0.95587 	6.38891 	2	1	43.0353
1.22228 	0.837782	7.47796 	0.971001	7.85105 	2	1	34.4277
0.85817 	0.932448	7.70172 	0.972253	8.02803 	2	0	47.3754
0.478928	0.814193	8.30801 	0.975718	8.56963 	2	1	59.535
-0.412475	0.174112	0.917068	0.477859	2.13561 	2	2	-22.8854
-0.133556	0.601573	2.02762 	0.748413	2.83158 	2	0	-77.4828
0.282749	0.195949	3.76487 	0.895682	4.22086 	2	1	34.7225
0.260625	0.11923 	5.26425 	0.942074	5.59621 	2	1	24.583
-0.002081	0.132366	7.33266 	0.968774	7.57024 	2	1	-89.0994
0.009688	-0.57104	7.94448 	0.973338	8.18316 	2	1	-89.0281
0.168824	-0.757686	8.28051 	0.975441	8.52621 	2	0	-77.4389
-0.073992	-0.809094	8.54232 	0.976902	8.78376 	2	1	84.7749
