# proton+antiproton -> gamma* -> electron+positron 
# E=[2:5] [GeV] , Q=[1:E] [GeV] , sigma [nbarn * GeV-2] 
# N_E=100 , N_Q = 100 , Num. of Rows = N_E*N_Q  
     100     100
2.102400E+000 1.452000E+000 4.923660E-005 
2.102400E+000 1.463000E+000 3.948200E-005 
2.102400E+000 1.474000E+000 3.159168E-005 
2.102400E+000 1.485000E+000 2.522250E-005 
2.102400E+000 1.496100E+000 2.009136E-005 
2.102400E+000 1.507100E+000 1.596570E-005 
2.102400E+000 1.518100E+000 1.265552E-005 
2.102400E+000 1.529100E+000 1.000540E-005 
2.102400E+000 1.540200E+000 7.888420E-006 
2.102400E+000 1.551200E+000 6.201600E-006 
2.102400E+000 1.562200E+000 4.860580E-006 
2.102400E+000 1.573200E+000 3.797378E-006 
2.102400E+000 1.584300E+000 2.956590E-006 
2.102400E+000 1.595300E+000 2.293642E-006 
2.102400E+000 1.606300E+000 1.772548E-006 
2.102400E+000 1.617300E+000 1.364200E-006 
2.102400E+000 1.628400E+000 1.045380E-006 
2.102400E+000 1.639400E+000 7.973160E-007 
2.102400E+000 1.650400E+000 6.051120E-007 
2.102400E+000 1.661400E+000 4.567600E-007 
2.102400E+000 1.672500E+000 3.427828E-007 
2.102400E+000 1.683500E+000 2.556602E-007 
2.102400E+000 1.694500E+000 1.894110E-007 
2.102400E+000 1.705500E+000 1.393308E-007 
2.102400E+000 1.716500E+000 1.017032E-007 
2.102400E+000 1.727600E+000 7.362120E-008 
2.102400E+000 1.738600E+000 5.281620E-008 
2.102400E+000 1.749600E+000 3.752386E-008 
2.102400E+000 1.760600E+000 2.638036E-008 
2.102400E+000 1.771700E+000 1.833500E-008 
2.102400E+000 1.782700E+000 1.258522E-008 
2.102400E+000 1.793700E+000 8.521500E-009 
2.102400E+000 1.804700E+000 5.684420E-009 
2.102400E+000 1.815800E+000 3.729890E-009 
2.102400E+000 1.826800E+000 2.403386E-009 
2.102400E+000 1.837800E+000 1.517720E-009 
2.102400E+000 1.848800E+000 9.371180E-010 
2.102400E+000 1.859900E+000 5.642240E-010 
2.102400E+000 1.870900E+000 3.307672E-010 
2.102400E+000 1.881900E+000 1.887004E-010 
2.102400E+000 1.892900E+000 1.041694E-010 
2.102400E+000 1.904000E+000 5.546860E-011 
2.102400E+000 1.915000E+000 2.842742E-011 
2.102400E+000 1.926000E+000 1.403454E-011 
2.102400E+000 1.937000E+000 6.744240E-012 
2.102400E+000 1.948000E+000 3.159434E-012 
2.102400E+000 1.959100E+000 1.455324E-012 
2.102400E+000 1.970100E+000 6.658360E-013 
2.102400E+000 1.981100E+000 3.029360E-013 
2.102400E+000 1.992100E+000 1.363250E-013 
2.102400E+000 2.003200E+000 6.059480E-014 
2.102400E+000 2.014200E+000 2.699064E-014 
2.102400E+000 2.025200E+000 1.194568E-014 
2.102400E+000 2.036200E+000 5.367500E-015 
2.102400E+000 2.047300E+000 2.386400E-015 
2.102400E+000 2.058300E+000 9.553580E-016 
2.102400E+000 2.069300E+000 3.537990E-016 
2.102400E+000 2.080300E+000 1.248832E-016 
2.102400E+000 2.091400E+000 2.727374E-017 
2.151700E+000 1.000000E+000 1.165878E-001 
2.151700E+000 1.011500E+000 9.966640E-002 
2.151700E+000 1.023000E+000 8.513140E-002 
2.151700E+000 1.034600E+000 7.264840E-002 
2.151700E+000 1.046100E+000 6.193620E-002 
2.151700E+000 1.057600E+000 5.274780E-002 
2.151700E+000 1.069100E+000 4.487420E-002 
2.151700E+000 1.080600E+000 3.813300E-002 
2.151700E+000 1.092100E+000 3.236536E-002 
2.151700E+000 1.103700E+000 2.743638E-002 
2.151700E+000 1.115200E+000 2.322750E-002 
2.151700E+000 1.126700E+000 1.963764E-002 
2.151700E+000 1.138200E+000 1.657940E-002 
2.151700E+000 1.149700E+000 1.397716E-002 
2.151700E+000 1.161200E+000 1.176594E-002 
2.151700E+000 1.172800E+000 9.889500E-003 
2.151700E+000 1.184300E+000 8.299580E-003 
2.151700E+000 1.195800E+000 6.954000E-003 
2.151700E+000 1.207300E+000 5.817420E-003 
2.151700E+000 1.218800E+000 4.858680E-003 
2.151700E+000 1.230300E+000 4.050800E-003 
2.151700E+000 1.241900E+000 3.371892E-003 
2.151700E+000 1.253400E+000 2.801892E-003 
2.151700E+000 1.264900E+000 2.324346E-003 
2.151700E+000 1.276400E+000 1.924966E-003 
2.151700E+000 1.287900E+000 1.591516E-003 
2.151700E+000 1.299500E+000 1.313584E-003 
2.151700E+000 1.311000E+000 1.082316E-003 
2.151700E+000 1.322500E+000 8.901880E-004 
2.151700E+000 1.334000E+000 7.308920E-004 
2.151700E+000 1.345500E+000 5.990320E-004 
2.151700E+000 1.357000E+000 4.900100E-004 
2.151700E+000 1.368600E+000 4.000260E-004 
2.151700E+000 1.380100E+000 3.259374E-004 
2.151700E+000 1.391600E+000 2.650880E-004 
2.151700E+000 1.403100E+000 2.152016E-004 
2.151700E+000 1.414600E+000 1.743744E-004 
2.151700E+000 1.426100E+000 1.410294E-004 
2.151700E+000 1.437700E+000 1.138404E-004 
2.151700E+000 1.449200E+000 9.171680E-005 
2.151700E+000 1.460700E+000 7.374280E-005 
2.151700E+000 1.472200E+000 5.917360E-005 
2.151700E+000 1.483700E+000 4.738600E-005 
2.151700E+000 1.495200E+000 3.786358E-005 
2.151700E+000 1.506800E+000 3.018872E-005 
2.151700E+000 1.518300E+000 2.401410E-005 
