 # (omega,eta,kaon) + n(L) -> elastic amplitude
 # cm energy window: srtmin=1.400 GeV; srtmax=1.900 GeV; momentum cutoff=500.000 GeV/c)
 # min energy for S wave pi N scatt.  1.2
 # Delta pi with Delta width is included
 # with delta formfactor
 # Lambda-K^o included in the fit
 # Sigma+ K^+ included in the fit
 # in d33 1 delta chan.
 # uniform scaling energy dependence
 # Constraint in the S31 rhoN -1
 # Constraint in the K crosssec
 # No Suppress of couplings > 100
 # omega m-dep. width included
 # min. exp. errorbar for amplitude set to  0.1
 # min.phasesh.abs.errorbar set to  1.
 # errorbars in s31phase multiplied with  0.5
 # max energy for omega prod.  1.798
 # min energy for omega prod.  1.73
 # max energy for rho prod.  1.8
 # max energy for Lambda K prod.  1.68
 # max energy for Sigma K prod.  1.9

# x: srt [GeV]
# y: amplitude [?]

#  7th best fit with chisq=    946.03
# elastic:                omega+n                       eta+n              K^0+Lambda   
#  srt     Re(T11)   Im(T11)   Re(T13)   Im(T13)   Re(T11)   Im(T11)   Re(T11)   Im(T11)
  1.173  0.467E+02  0.575E+01  0.678E+02  0.579E-01  0.530E+00  0.374E+01  0.518E+02  0.335E+01
  1.174  0.468E+02  0.578E+01  0.681E+02  0.600E-01  0.505E+00  0.376E+01  0.518E+02  0.336E+01
  1.175  0.468E+02  0.580E+01  0.683E+02  0.622E-01  0.479E+00  0.377E+01  0.518E+02  0.337E+01
  1.176  0.469E+02  0.583E+01  0.685E+02  0.645E-01  0.455E+00  0.378E+01  0.519E+02  0.337E+01
  1.177  0.470E+02  0.586E+01  0.687E+02  0.668E-01  0.430E+00  0.379E+01  0.519E+02  0.338E+01
  1.178  0.470E+02  0.589E+01  0.689E+02  0.692E-01  0.405E+00  0.381E+01  0.520E+02  0.339E+01
  1.179  0.471E+02  0.592E+01  0.691E+02  0.717E-01  0.381E+00  0.382E+01  0.520E+02  0.339E+01
  1.180  0.472E+02  0.594E+01  0.694E+02  0.742E-01  0.356E+00  0.383E+01  0.520E+02  0.340E+01
  1.181  0.472E+02  0.597E+01  0.696E+02  0.768E-01  0.332E+00  0.384E+01  0.521E+02  0.341E+01
  1.182  0.473E+02  0.600E+01  0.698E+02  0.795E-01  0.308E+00  0.385E+01  0.521E+02  0.341E+01
  1.183  0.474E+02  0.603E+01  0.700E+02  0.822E-01  0.284E+00  0.386E+01  0.522E+02  0.342E+01
  1.184  0.475E+02  0.605E+01  0.703E+02  0.850E-01  0.261E+00  0.387E+01  0.522E+02  0.342E+01
  1.185  0.475E+02  0.608E+01  0.705E+02  0.879E-01  0.237E+00  0.388E+01  0.522E+02  0.343E+01
  1.186  0.476E+02  0.611E+01  0.707E+02  0.909E-01  0.214E+00  0.389E+01  0.523E+02  0.343E+01
  1.187  0.477E+02  0.613E+01  0.710E+02  0.940E-01  0.190E+00  0.390E+01  0.523E+02  0.344E+01
  1.188  0.477E+02  0.616E+01  0.712E+02  0.971E-01  0.167E+00  0.391E+01  0.524E+02  0.344E+01
  1.189  0.478E+02  0.619E+01  0.714E+02  0.100E+00  0.145E+00  0.392E+01  0.524E+02  0.344E+01
  1.190  0.479E+02  0.621E+01  0.717E+02  0.104E+00  0.122E+00  0.393E+01  0.524E+02  0.345E+01
  1.191  0.480E+02  0.624E+01  0.719E+02  0.107E+00  0.994E-01  0.394E+01  0.525E+02  0.345E+01
  1.192  0.480E+02  0.626E+01  0.721E+02  0.111E+00  0.771E-01  0.395E+01  0.525E+02  0.346E+01
  1.193  0.481E+02  0.629E+01  0.724E+02  0.114E+00  0.549E-01  0.396E+01  0.526E+02  0.346E+01
  1.194  0.482E+02  0.631E+01  0.726E+02  0.118E+00  0.329E-01  0.397E+01  0.526E+02  0.346E+01
  1.195  0.483E+02  0.634E+01  0.729E+02  0.122E+00  0.111E-01  0.398E+01  0.527E+02  0.347E+01
  1.196  0.483E+02  0.636E+01  0.731E+02  0.126E+00 -0.105E-01  0.399E+01  0.527E+02  0.347E+01
  1.197  0.484E+02  0.639E+01  0.734E+02  0.130E+00 -0.320E-01  0.400E+01  0.528E+02  0.347E+01
  1.198  0.485E+02  0.641E+01  0.736E+02  0.134E+00 -0.532E-01  0.401E+01  0.528E+02  0.347E+01
  1.199  0.486E+02  0.644E+01  0.739E+02  0.138E+00 -0.743E-01  0.401E+01  0.528E+02  0.348E+01
  1.200  0.486E+02  0.646E+01  0.741E+02  0.142E+00 -0.952E-01  0.402E+01  0.529E+02  0.348E+01
  1.201  0.487E+02  0.648E+01  0.744E+02  0.147E+00 -0.116E+00  0.403E+01  0.529E+02  0.348E+01
  1.202  0.488E+02  0.651E+01  0.746E+02  0.151E+00 -0.136E+00  0.404E+01  0.530E+02  0.348E+01
  1.203  0.489E+02  0.653E+01  0.749E+02  0.156E+00 -0.157E+00  0.405E+01  0.530E+02  0.348E+01
  1.204  0.489E+02  0.656E+01  0.751E+02  0.160E+00 -0.177E+00  0.406E+01  0.531E+02  0.349E+01
  1.205  0.490E+02  0.658E+01  0.754E+02  0.165E+00 -0.197E+00  0.406E+01  0.531E+02  0.349E+01
  1.206  0.491E+02  0.660E+01  0.757E+02  0.170E+00 -0.217E+00  0.407E+01  0.532E+02  0.349E+01
  1.207  0.492E+02  0.663E+01  0.759E+02  0.175E+00 -0.236E+00  0.408E+01  0.532E+02  0.349E+01
  1.208  0.492E+02  0.665E+01  0.762E+02  0.181E+00 -0.255E+00  0.408E+01  0.532E+02  0.349E+01
  1.209  0.493E+02  0.667E+01  0.764E+02  0.186E+00 -0.275E+00  0.409E+01  0.533E+02  0.349E+01
  1.210  0.494E+02  0.669E+01  0.767E+02  0.192E+00 -0.294E+00  0.410E+01  0.533E+02  0.349E+01
  1.211  0.495E+02  0.672E+01  0.770E+02  0.197E+00 -0.312E+00  0.411E+01  0.534E+02  0.349E+01
  1.212  0.496E+02  0.674E+01  0.772E+02  0.203E+00 -0.331E+00  0.411E+01  0.534E+02  0.349E+01
  1.213  0.496E+02  0.676E+01  0.775E+02  0.209E+00 -0.349E+00  0.412E+01  0.535E+02  0.349E+01
  1.214  0.497E+02  0.678E+01  0.778E+02  0.215E+00 -0.367E+00  0.413E+01  0.535E+02  0.349E+01
  1.215  0.498E+02  0.680E+01  0.781E+02  0.221E+00 -0.385E+00  0.413E+01  0.536E+02  0.349E+01
  1.216  0.499E+02  0.683E+01  0.783E+02  0.228E+00 -0.403E+00  0.414E+01  0.536E+02  0.349E+01
  1.217  0.500E+02  0.685E+01  0.786E+02  0.234E+00 -0.420E+00  0.414E+01  0.537E+02  0.349E+01
  1.218  0.500E+02  0.687E+01  0.789E+02  0.241E+00 -0.438E+00  0.415E+01  0.537E+02  0.349E+01
  1.219  0.501E+02  0.689E+01  0.792E+02  0.248E+00 -0.455E+00  0.416E+01  0.538E+02  0.349E+01
  1.220  0.502E+02  0.691E+01  0.795E+02  0.255E+00 -0.472E+00  0.416E+01  0.538E+02  0.349E+01
  1.221  0.503E+02  0.693E+01  0.798E+02  0.262E+00 -0.488E+00  0.417E+01  0.539E+02  0.349E+01
  1.222  0.504E+02  0.695E+01  0.801E+02  0.270E+00 -0.505E+00  0.417E+01  0.539E+02  0.349E+01
  1.223  0.505E+02  0.697E+01  0.803E+02  0.277E+00 -0.521E+00  0.418E+01  0.540E+02  0.349E+01
  1.224  0.505E+02  0.699E+01  0.806E+02  0.285E+00 -0.537E+00  0.418E+01  0.540E+02  0.349E+01
  1.225  0.506E+02  0.701E+01  0.809E+02  0.293E+00 -0.552E+00  0.419E+01  0.541E+02  0.348E+01
  1.226  0.507E+02  0.703E+01  0.812E+02  0.301E+00 -0.568E+00  0.419E+01  0.541E+02  0.348E+01
  1.227  0.508E+02  0.705E+01  0.815E+02  0.309E+00 -0.583E+00  0.420E+01  0.542E+02  0.348E+01
  1.228  0.509E+02  0.707E+01  0.818E+02  0.318E+00 -0.598E+00  0.420E+01  0.542E+02  0.348E+01
  1.229  0.510E+02  0.709E+01  0.821E+02  0.327E+00 -0.613E+00  0.421E+01  0.543E+02  0.348E+01
  1.230  0.511E+02  0.711E+01  0.824E+02  0.336E+00 -0.627E+00  0.421E+01  0.543E+02  0.347E+01
  1.231  0.511E+02  0.713E+01  0.828E+02  0.345E+00 -0.642E+00  0.422E+01  0.544E+02  0.347E+01
  1.232  0.512E+02  0.715E+01  0.831E+02  0.354E+00 -0.656E+00  0.422E+01  0.544E+02  0.347E+01
  1.233  0.513E+02  0.717E+01  0.834E+02  0.364E+00 -0.670E+00  0.423E+01  0.545E+02  0.347E+01
  1.234  0.514E+02  0.719E+01  0.837E+02  0.374E+00 -0.683E+00  0.423E+01  0.545E+02  0.347E+01
  1.235  0.515E+02  0.721E+01  0.840E+02  0.384E+00 -0.697E+00  0.424E+01  0.546E+02  0.346E+01
  1.236  0.516E+02  0.723E+01  0.843E+02  0.394E+00 -0.710E+00  0.424E+01  0.546E+02  0.346E+01
  1.237  0.517E+02  0.725E+01  0.847E+02  0.405E+00 -0.722E+00  0.425E+01  0.547E+02  0.346E+01
  1.238  0.518E+02  0.727E+01  0.850E+02  0.416E+00 -0.735E+00  0.425E+01  0.547E+02  0.345E+01
  1.239  0.519E+02  0.728E+01  0.853E+02  0.427E+00 -0.747E+00  0.425E+01  0.548E+02  0.345E+01
  1.240  0.519E+02  0.730E+01  0.856E+02  0.439E+00 -0.759E+00  0.426E+01  0.548E+02  0.345E+01
  1.241  0.520E+02  0.732E+01  0.860E+02  0.450E+00 -0.771E+00  0.426E+01  0.549E+02  0.344E+01
  1.242  0.521E+02  0.734E+01  0.863E+02  0.463E+00 -0.783E+00  0.426E+01  0.550E+02  0.344E+01
  1.243  0.522E+02  0.736E+01  0.866E+02  0.475E+00 -0.794E+00  0.427E+01  0.550E+02  0.344E+01
  1.244  0.523E+02  0.737E+01  0.870E+02  0.488E+00 -0.805E+00  0.427E+01  0.551E+02  0.343E+01
  1.245  0.524E+02  0.739E+01  0.873E+02  0.501E+00 -0.816E+00  0.428E+01  0.551E+02  0.343E+01
  1.246  0.525E+02  0.741E+01  0.877E+02  0.514E+00 -0.826E+00  0.428E+01  0.552E+02  0.342E+01
  1.247  0.526E+02  0.743E+01  0.880E+02  0.528E+00 -0.837E+00  0.428E+01  0.552E+02  0.342E+01
  1.248  0.527E+02  0.744E+01  0.884E+02  0.542E+00 -0.847E+00  0.429E+01  0.553E+02  0.342E+01
  1.249  0.528E+02  0.746E+01  0.887E+02  0.556E+00 -0.856E+00  0.429E+01  0.553E+02  0.341E+01
  1.250  0.529E+02  0.748E+01  0.891E+02  0.571E+00 -0.866E+00  0.429E+01  0.554E+02  0.341E+01
  1.251  0.530E+02  0.749E+01  0.894E+02  0.586E+00 -0.875E+00  0.430E+01  0.555E+02  0.340E+01
  1.252  0.531E+02  0.751E+01  0.898E+02  0.602E+00 -0.884E+00  0.430E+01  0.555E+02  0.340E+01
  1.253  0.532E+02  0.753E+01  0.902E+02  0.618E+00 -0.892E+00  0.430E+01  0.556E+02  0.339E+01
  1.254  0.533E+02  0.754E+01  0.905E+02  0.634E+00 -0.901E+00  0.430E+01  0.556E+02  0.339E+01
  1.255  0.534E+02  0.756E+01  0.909E+02  0.651E+00 -0.909E+00  0.431E+01  0.557E+02  0.338E+01
  1.256  0.535E+02  0.757E+01  0.913E+02  0.668E+00 -0.916E+00  0.431E+01  0.558E+02  0.338E+01
  1.257  0.536E+02  0.759E+01  0.917E+02  0.686E+00 -0.924E+00  0.431E+01  0.558E+02  0.337E+01
  1.258  0.537E+02  0.761E+01  0.920E+02  0.704E+00 -0.931E+00  0.431E+01  0.559E+02  0.337E+01
  1.259  0.538E+02  0.762E+01  0.924E+02  0.723E+00 -0.938E+00  0.432E+01  0.559E+02  0.336E+01
  1.260  0.539E+02  0.764E+01  0.928E+02  0.742E+00 -0.944E+00  0.432E+01  0.560E+02  0.336E+01
  1.261  0.540E+02  0.765E+01  0.932E+02  0.761E+00 -0.951E+00  0.432E+01  0.561E+02  0.335E+01
  1.262  0.541E+02  0.767E+01  0.936E+02  0.782E+00 -0.957E+00  0.432E+01  0.561E+02  0.335E+01
  1.263  0.542E+02  0.768E+01  0.940E+02  0.802E+00 -0.962E+00  0.433E+01  0.562E+02  0.334E+01
  1.264  0.543E+02  0.770E+01  0.944E+02  0.824E+00 -0.968E+00  0.433E+01  0.562E+02  0.334E+01
  1.265  0.544E+02  0.771E+01  0.948E+02  0.845E+00 -0.973E+00  0.433E+01  0.563E+02  0.333E+01
  1.266  0.545E+02  0.773E+01  0.952E+02  0.868E+00 -0.977E+00  0.433E+01  0.564E+02  0.332E+01
  1.267  0.546E+02  0.774E+01  0.956E+02  0.891E+00 -0.982E+00  0.434E+01  0.564E+02  0.332E+01
  1.268  0.547E+02  0.776E+01  0.961E+02  0.915E+00 -0.986E+00  0.434E+01  0.565E+02  0.331E+01
  1.269  0.548E+02  0.777E+01  0.965E+02  0.939E+00 -0.990E+00  0.434E+01  0.566E+02  0.331E+01
  1.270  0.549E+02  0.778E+01  0.969E+02  0.964E+00 -0.993E+00  0.434E+01  0.566E+02  0.330E+01
  1.271  0.550E+02  0.780E+01  0.973E+02  0.989E+00 -0.996E+00  0.434E+01  0.567E+02  0.329E+01
