     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle
1.49654 	2.55055 	28.1533 	0.995085	28.448  	3	0	59.5977
1.32158 	2.80065 	29.1565 	0.997955	29.3805 	2	0	64.7382
1.09133 	2.88581 	30.589  	0.99814 	30.8015 	2	0	69.2848
0.899281	2.3227  	32.6805 	0.996329	32.896  	3	1	68.8351
1.05701 	2.32495 	32.9329 	0.998388	33.0851 	2	0	65.5518
0.925326	2.75679 	33.8217 	0.998473	33.9983 	2	0	71.4455
0.606236	2.6102  	35.213  	0.998591	35.3647 	2	1	76.9245
0.411625	2.29585 	36.2643 	0.998669	36.3877 	2	1	79.8355
0.075166	2.17247 	37.307  	0.99874 	37.4174 	2	0	88.0185
-0.641494	2.27469 	37.9958 	0.998787	38.1155 	2	1	-74.2509
-0.465201	2.14773 	39.3538 	0.998868	39.4597 	2	1	-77.7785
-0.847459	2.69392 	41.6706 	0.997735	41.861  	3	1	-72.5374
-1.13958	2.62538 	43.2004 	0.999061	43.3358 	2	0	-66.5361
-1.18552	2.35709 	43.3422 	0.999066	43.463  	2	0	-63.2995
0.506463	-0.185567	1.30882 	0.449145	3.1518  	3	1	-20.1227
0.501515	-0.445124	1.37406 	0.631559	2.42091 	2	1	-41.591
0.450405	-0.502591	1.35867 	0.628795	2.41264 	2	2	-48.1344
0.079024	-0.322186	1.59454 	0.655577	2.48435 	2	2	-76.2189
-0.370895	-0.445185	2.62169 	0.819729	3.27542 	2	2	50.2015
-0.717826	-0.755459	4.08632 	0.913592	4.61596 	2	1	46.4633
-0.464249	-0.77039	4.50355 	0.774246	5.93156 	4	2	58.9262
-0.649801	-1.63025	5.60847 	0.66657 	8.81624 	7	1	68.2683
-0.625691	-1.52739	5.94297 	0.956682	6.4472  	2	1	67.7237
-0.342756	-1.7552 	6.70104 	0.965275	7.18508 	2	1	78.9504
-0.249637	-1.7205 	7.10348 	0.968605	7.55016 	2	1	81.7443
0.442731	-2.36198	8.27903 	0.950603	9.06871 	3	2	-79.3837
0.412254	-2.16281	8.80512 	0.979278	9.26828 	2	1	-79.2083
0.594499	-2.78122	10.1537 	0.984523	10.7102 	2	1	-77.9344
0.927239	-2.98278	10.5262 	0.985701	11.1391 	2	1	-72.7315
1.19911 	-2.99616	10.8322 	0.98649 	11.4576 	2	1	-68.1881
0.993253	-3.13248	12.1386 	0.975817	12.8872 	3	0	-72.4072
1.1468  	-2.78828	13.3499 	0.990716	13.8143 	2	0	-67.6431
1.09248 	-3.4962 	14.8373 	0.971102	15.7375 	4	0	-72.6472
1.26537 	-3.95888	17.1698 	0.987523	17.8888 	3	0	-72.2748
0.940256	-4.74825	17.7038 	0.994806	18.4495 	2	0	-78.7992
1.80693 	-4.69098	18.7835 	0.989668	19.6475 	3	0	-68.9338
1.6366  	-4.76796	19.4234 	0.995649	20.1546 	2	0	-71.0553
1.96372 	-4.57762	20.7574 	0.996156	21.429  	2	1	-66.7816
0.969545	-3.92956	22.0921 	0.996522	22.5382 	2	0	-76.1402
0.553624	-3.94261	23.7496 	0.996976	24.154  	2	1	-82.0068
0.336404	-4.28428	24.6907 	0.997204	25.1321 	2	0	-85.5104
0.33833 	-3.67322	26.2232 	0.997497	26.5478 	2	1	-84.7376
0.541519	-3.57303	27.0894 	0.997647	27.3938 	2	0	-81.382
0.165013	-2.79089	27.8322 	0.994971	28.1136 	3	1	-86.6164
0.491582	-3.3116 	28.9556 	0.997931	29.2089 	2	0	-81.5566
0.557012	-3.83309	30.711  	0.998169	31.0111 	2	2	-81.7319
0.032113	-3.37451	32.2288 	0.998328	32.4592 	2	2	-89.4548
-0.822876	-3.53669	33.3279 	0.998436	33.5776 	2	1	76.9022
-0.493324	-3.54362	34.9041 	0.998572	35.1372 	2	1	82.0746
-0.607137	-3.14276	35.9553 	0.998651	36.1462 	2	1	79.066
-0.849078	-3.3513 	37.7459 	0.998775	37.9504 	2	0	75.7829
-0.845844	-3.2369 	38.7439 	0.997387	38.9899 	3	0	75.3554
-1.3008 	-3.33938	39.5671 	0.998885	39.7734 	2	0	68.7175
-1.58859	-3.41935	41.2683 	0.998975	41.4827 	2	0	65.081
0.396697	-0.061468	0.374398	0.28083 	1.95466 	2	2	-8.80791
0.439535	0.360616	0.692181	0.430877	2.07888 	2	2	39.3672
0.611794	0.19986 	1.29579 	0.610501	2.3699  	2	1	18.0911
0.415399	0.263147	2.11759 	0.360101	6.037   	6	2	32.3535
-0.189746	0.042646	2.77959 	0.595904	4.67589 	4	1	-12.6669
-0.399058	0.005917	2.85507 	0.838157	3.43949 	2	2	-0.849487
-0.791978	-0.441683	4.08368 	0.912363	4.58496 	2	1	29.1483
-0.672425	-0.987156	5.66989 	0.951331	6.09077 	2	1	55.7384
-0.689476	-0.935397	5.72994 	0.900943	6.48941 	3	1	53.6063
-0.518866	-1.12413	7.81193 	0.942073	8.39577 	3	1	65.2233
-0.215937	-1.31051	7.95329 	0.97396 	8.27901 	2	1	80.6433
-0.287291	-0.729938	9.40028 	0.980772	9.61789 	2	1	68.5163
0.601965	-0.469398	9.63162 	0.981648	9.84246 	2	1	-37.9463
0.981707	-0.884174	10.8519 	0.968409	11.2886 	3	2	-42.0078
1.07741 	-0.960735	11.9551 	0.97373 	12.3668 	3	1	-41.7238
2.48181 	-1.49092	13.1382 	0.963223	13.9671 	4	3	-30.995
2.32462 	-1.56613	13.8963 	0.991348	14.2999 	2	1	-33.9688
