       p_x	       p_y	       p_z	       v	       E	A	Z	polar angle
  0.192483	    0.0473	   0.49828	0.496317	0.142469	1	1	13.8061
  0.145712	 -0.051124	  0.984861	0.728292	 0.43081	1	1	19.3338
 -0.148399	    0.2229	 -0.017056	0.275028	0.0376237	1	1	123.654
  0.035296	  0.319663	  0.016266	  0.3247	0.0537353	1	1	83.6992
  0.328389	  0.440932	   1.83439	0.562335	0.589451	3	1	53.3227
 -0.718069	 -0.239081	   1.53029	0.672856	0.660264	2	1	161.585
 -0.393577	  0.536675	   4.81871	0.719602	 2.06592	5	1	126.255
  0.426139	 -0.049246	  0.906615	 0.73037	 0.43525	1	1	6.59205
  0.303804	  0.184821	  0.425484	0.508897	 0.15165	1	1	31.3145
  0.310246	  0.235241	  0.784176	0.682338	0.345108	1	1	37.1709
  0.397219	  0.036837	  0.932425	0.734141	0.443449	1	1	5.2983
  0.168617	   0.03324	  0.573278	0.537883	0.174667	1	1	11.1519
 -0.114249	 -0.087936	   1.09876	0.763282	0.513866	1	1	142.415
  0.225198	  0.181508	  0.509342	0.529666	0.167863	1	1	38.8686
  0.170436	 -0.011337	  0.824609	 0.66805	0.322556	1	1	3.80558
 -0.343559	  0.069405	  0.428671	0.508355	0.151244	1	1	168.579
  0.143491	   0.23776	   1.62358	0.659589	0.620251	2	1	58.8886
 -0.491839	  0.369082	  0.245494	0.576681	0.210146	1	1	143.115
 -0.305282	  0.086285	   0.11821	0.339491	0.0592261	1	1	164.218
  0.162175	 -0.324573	  0.810214	0.686997	0.353214	1	0	63.4508
  0.158582	 -0.044985	  0.180284	0.251772	0.0312552	1	0	15.8371
  0.056851	  0.537811	   0.81458	0.721627	0.416938	1	1	83.9658
 -0.210725	  0.231708	   1.17659	 0.79218	 0.59898	1	1	132.285
  0.051017	  0.036987	   1.06443	0.750833	0.482153	1	1	35.9419
 -0.082703	 -0.315191	   0.05216	0.331881	0.056359	1	1	104.703
 -0.286213	  0.226953	  0.469669	0.535646	0.172792	1	1	141.587
 -0.221257	  0.088551	  0.507507	0.513067	0.154796	1	1	158.188
  0.094303	  0.008168	   1.13785	 0.77269	 0.53967	1	1	4.95029
  0.347017	  0.084902	  0.648182	0.619432	0.256828	1	1	13.7481
  0.379713	 -0.335592	  0.288429	0.527941	0.166463	1	1	41.4704
  0.130882	   0.49919	  0.854811	0.728846	0.431988	1	1	75.3084
 -0.125043	  -0.01199	   1.06283	0.752037	0.485108	1	1	174.523
  -0.02498	 -0.476693	  0.126914	 0.46554	0.121985	1	0	92.9998
 -0.274472	 -0.313416	  0.367656	0.509256	 0.15208	1	0	131.21
 -0.073181	 -0.298173	  0.760346	 0.65816	0.307886	1	1	103.79
  0.162258	 -0.162382	  0.617352	0.574252	 0.20797	1	0	45.0219
 -0.064314	 -0.171084	   1.16955	0.783443	0.571949	1	0	110.602
 -0.098576	  0.054765	   1.14896	0.775789	0.549133	1	0	150.945
  0.527979	  0.267454	  0.640399	0.680486	0.342454	1	0	26.8651
 -0.078645	   0.44224	  0.654651	0.645655	0.290654	1	0	100.084
 -0.305533	 -0.221705	  0.721268	0.655061	 0.30376	1	0	144.034
  0.043523	 -0.310438	  0.473672	0.517579	 0.15843	1	0	82.0193
 -0.270489	 -0.141478	  0.345079	0.440483	0.106935	1	0	152.389
 -0.257139	  0.167616	  0.268313	0.398253	0.0846838	1	0	146.902
  0.196804	 -0.112751	  0.429706	0.459575	0.118267	1	0	29.8089
 -0.460896	  0.070135	  0.308324	0.511488	0.153762	1	0	171.348
  0.239264	  0.280705	  0.718413	0.395038	0.166271	2	0	49.5568
 -0.208266	  0.200686	   1.21444	0.553597	0.377084	2	0	136.062
  0.461368	 -0.054303	  0.625618	0.638604	0.281216	1	0	6.71283
  0.360278	 -0.153245	    1.4252	 0.61845	0.511848	2	0	23.0426
  -0.25969	  -0.16757	  0.820207	0.682361	0.345515	1	0	147.167
  0.609127	  0.063663	  0.602844	0.675133	0.333883	1	0	5.96662
  -0.31144	   0.75553	  0.955838	0.556605	0.382331	2	1	112.402
 -0.274282	 -0.424658	  0.734446	0.688573	0.355873	1	0	122.858
 -0.219223	  0.082351	  0.754795	0.643922	0.288305	1	0	159.411
  0.146665	  -0.16028	  0.201588	0.300991	0.0456619	1	0	47.5398
  0.395089	 -0.003803	  0.747411	0.669104	0.324509	1	0	0.551494
